Course,Title,Units,Offered,Hrs Per Wk
CS 205L,Continuous Mathematical Methods with an Emphasis on Machine Learning,3,W,12.5
CS 239,Advanced Topics in Sequential Decision Making,4,W,10
CS 270,"Modeling Biomedical Systems: Ontology, Terminology, Problem Solving",3,W,7.5
CS 275,Translational Bioinformatics,4,W,7.5
CS 333,Algorithms for Interactive Robots,4,W,7.5
CS 371,Computational Biology in Four Dimensions,3,W,7.5
CS 432,Computer Vision For Education and Social Science Research,3,W,7.5
EE 276,Information Theory,3,W,12.5
PSYCH 209,Neural Network Models of Cognition: Principles and Applications,4,W,12.5
STATS 315A,Modern Applied Statistics: Learning,3,W,12.5
CS 111,Operating Systems Principles,5,S,17.5
CS 143,Compilers,4,S,22.5
CS 151,Logic Programming,3,S,7.5
CS 210B,Software Project Experience with Corporate Partners,4,S,12.5
CS 227B,General Game Playing,3,S,7.5
CS 231N,Deep Learning for Computer Vision,4,S,17.5
CS 243,Program Analysis and Optimizations,4,S,12.5
CS 168,The Modern Algorithmic Toolbox,4,S,12.5
CS 261,Optimization and Algorithmic Paradigms,3,S,15
EE 364B,Convex Optimization II,3,S,12.5
CS 244,Advanced Topics in Networking,4,S,12.5
EE 282,Computer Systems Architecture,3,S,12.5
CS 155,Computer and Network Security,3,S,12.5
CS 224U,Natural Language Understanding,4,S,7.5
CS 348B,Computer Graphics: Image Synthesis Techniques,4,S,12.5
CS 348E,"Character Animation: Modeling, Simulation, and Control of Human Motion",3,S,10
CS 348K,Visual Computing Systems,4,S,12.5
CS 355,Advanced Topics in Cryptography,3,S,17.5
COMM 186W,"Media, Technology and the Body",5,S,7.5
CS 329T,Trustworthy Machine Learning,3,S,17.5
DESINST 215,The Design of Data,4,S,12.5
HISTORY 244F,Innovations in Inclusive Design in Tech,5,S,7.5
MS&E 254,The Ethical Analyst,3,S,7.5
PUBLPOL 103F,Ethics of Truth in a Post-Truth World,3,S,7.5
CS 225A,Experimental Robotics,3,S,12.5
CS 233,Geometric and Topological Data Analysis,3,S,12.5
CS 235,Computational Methods for Biomedical Image Analysis and Interpretation,4,S,12.5
CS 368,Algorithmic Techniques for Big Data,3,S,12.5
CS 398,Computational Education,4,S,7.5
ENGR 209A,Analysis and Control of Nonlinear Systems,3,S,12.5
STATS 315B,Modern Applied Statistics: Data Mining,3,S,7.5
